USW00235,West Bnegal/Kolkata,2014-07-30,96,86,76
USW00236,West Bnegal/Kolkata,2014-07-31,97,87,77
USW00237,West Bnegal/Kolkata,2014-08-01,91,82,73
USW00238,West Bnegal/Kolkata,2014-08-02,90,79,68
USW00239,West Bnegal/Kolkata,2014-08-03,94,83,71
USW00240,West Bnegal/Kolkata,2014-08-04,94,83,72
USW00241,West Bnegal/Kolkata,2014-08-05,97,85,73
USW00242,West Bnegal/Kolkata,2014-08-06,99,88,76
USW00243,West Bnegal/Kolkata,2014-08-07,102,90,77
USW00244,West Bnegal/Kolkata,2014-08-08,102,89,76
USW00245,West Bnegal/Kolkata,2014-08-09,100,89,77
USW00246,West Bnegal/Kolkata,2014-08-10,101,89,77
USW00247,West Bnegal/Kolkata,2014-08-11,102,89,76
USW00248,West Bnegal/Kolkata,2014-08-12,100,87,73
USW00249,West Bnegal/Kolkata,2014-08-13,97,83,69
USW00250,West Bnegal/Kolkata,2014-08-14,98,84,70
USW00251,West Bnegal/Kolkata,2014-08-15,101,88,75
USW00252,West Bnegal/Kolkata,2014-08-16,104,91,77
USW00253,West Bnegal/Kolkata,2014-08-17,101,90,79
USW00254,West Bnegal/Kolkata,2014-08-18,102,90,78
USW00255,West Bnegal/Kolkata,2014-08-19,96,87,77
USW00256,West Bnegal/Kolkata,2014-08-20,102,90,78
USW00257,West Bnegal/Kolkata,2014-08-21,103,92,80
USW00258,West Bnegal/Kolkata,2014-08-22,103,91,79
USW00259,West Bnegal/Kolkata,2014-08-23,101,88,75
USW00260,West Bnegal/Kolkata,2014-08-24,101,89,77
USW00261,West Bnegal/Kolkata,2014-08-25,101,89,76
USW00262,West Bnegal/Kolkata,2014-08-26,101,89,77
USW00263,West Bnegal/Kolkata,2014-08-27,98,87,76
USW00264,West Bnegal/Kolkata,2014-08-28,99,88,76
USW00265,West Bnegal/Kolkata,2014-08-29,96,87,77
USW00266,West Bnegal/Kolkata,2014-08-30,95,85,74
USW00267,West Bnegal/Kolkata,2014-08-31,99,87,74
USW00268,West Bnegal/Kolkata,2014-09-01,101,90,78
